title,year,director,running_time,views,likes,avg_rating,half_star,one_star,one_half_star,two_star,two_half_star,three_star,three_half_star,four_star,four_half_star,five_star
House of Dracula,1945,Erle C. Kenton,67,2599,382,2.8,12,29,84,258,365,524,203,88,10,21
1990: The Bronx Warriors,1982,Enzo G. Castellari,89,2699,521,2.9,22,77,90,230,265,499,269,229,37,31
Woman in the Moon,1929,Fritz Lang,170,1809,340,3.6,2,9,9,27,56,183,286,319,112,74
Alien Nation,1988,Graham Baker,91,4724,594,3.0,6,34,36,250,335,863,515,264,28,30
Blood: The Last Vampire,2000,Hiroyuki Kitakubo,48,5123,637,3.2,13,48,48,193,277,793,466,381,66,90
Illang: The Wolf Brigade,2018,Kim Jee-woon,140,2617,258,2.7,26,90,96,365,422,538,258,140,30,22
Super Inframan,1975,Hua Shan,90,2215,705,3.5,18,30,34,88,85,285,298,352,96,181
Sharknado 5: Global Swarming,2017,Anthony C. Ferrante,90,4223,349,1.8,612,546,299,406,194,252,108,88,24,101
Space Cop,2016,"Mike Stoklasa,Jay Bauman",102,2653,617,2.8,45,153,142,280,270,396,249,156,29,135
The Raven,1935,Lew Landers,61,2584,518,3.4,2,3,12,67,120,450,451,332,70,55
Dragon Ball Z: Broly – The Legendary Super Saiyan,1993,Shigeyasu Yamauchi,70,7041,990,3.1,23,73,117,343,458,1120,662,536,91,137
Escape to Witch Mountain,1975,John Hough,97,6024,680,3.0,12,40,46,249,397,835,403,282,33,68
The Incredible Melting Man,1977,William Sachs,84,2869,438,2.6,60,133,161,301,276,419,190,148,17,21
Iron Sky The Coming Race,2019,Timo Vuorensola,93,2916,286,2.1,164,427,356,447,340,339,136,92,12,35
Spontaneous Combustion,1990,Tobe Hooper,97,2001,379,2.9,12,45,71,208,185,363,203,155,37,47
The Room,2019,Christian Volckman,100,3421,396,2.7,44,136,153,484,539,767,361,215,22,39
Turkey Shoot,1982,Brian Trenchard-Smith,93,2403,541,3.2,8,21,35,110,205,436,389,315,50,52
Nemesis,1992,Albert Pyun,94,2427,533,3.0,14,46,83,189,235,414,288,215,41,55
Uninvited,1988,Greydon Clark,90,2406,575,2.7,44,139,139,245,273,457,258,122,17,31
Resident Evil: Vendetta,2017,Takanori Tsujimoto,97,3932,596,2.9,40,110,127,326,453,777,412,246,44,90
After the Dark,2013,John Huddles,107,4445,500,2.6,176,213,208,415,401,559,333,261,73,99
The Machine,2013,Caradog W. James,92,3969,446,2.9,36,83,123,356,391,753,450,255,65,40
Fist of the North Star,1986,Toyoo Ashida,110,3683,823,3.4,13,27,24,104,152,453,429,484,115,141
The Brain That Wouldn't Die,1962,Joseph Green,82,3589,462,2.6,55,145,161,352,290,406,202,133,29,42
I Am Here....Now,2009,Neil Breen,86,2883,668,2.3,574,284,80,97,50,96,56,91,50,402
Time Trap,2017,"Ben Foster,Mark Dennis",95,3534,590,2.8,86,143,159,420,394,724,479,316,45,65
Doctor Who,1996,Geoffrey Sax,89,5793,654,3.1,37,70,139,353,471,838,503,383,176,201
G.O.R.A.,2004,Ömer Faruk Sorak,127,8981,1214,3.9,21,32,29,91,135,462,608,1136,383,729
Dr. Jekyll and Mr. Hyde,1920,John S. Robertson,67,2774,405,3.4,4,9,16,85,135,460,451,308,61,70
The Ghost of Frankenstein,1942,Erle C. Kenton,67,2880,447,2.9,3,19,41,211,377,692,275,128,23,17
Teen Titans: Trouble in Tokyo,2006,"Michael Chang,Ben Jones,Matt Youngberg",75,6957,1223,3.4,7,32,35,158,237,796,751,701,131,208
Zoe,2018,Drake Doremus,104,2879,375,2.7,45,145,145,353,337,485,261,178,40,58
Rollerball,2002,John McTiernan,98,6851,238,1.6,579,895,505,537,254,216,93,61,15,29
Firefox,1982,Clint Eastwood,136,5589,491,2.7,30,112,146,514,567,818,320,169,24,22
Godzilla: Tokyo S.O.S.,2003,Masaaki Tezuka,91,3284,688,3.2,2,12,24,173,244,725,477,269,60,57
Doctor Who: The End of Time,2009,Euros Lyn,135,9547,1578,3.8,19,44,34,99,138,522,527,1063,393,634
